2017,2018,2019,2020
0.786146655,0.573549871,0.715344184,0.852856476
-0.469245208,-0.471901891,-0.375726908,-0.332518185
-0.432617398,-0.213810925,0.022841573,0.332902219
-0.62069932,-0.529076153,-0.328548018,-0.3387051
-0.655839205,-0.483249653,-0.475899912,-0.447587739
-0.39183103,-0.356472229,-0.278661821,0.209028552
-0.588629188,-0.548316263,-0.102228957,0.236752749
-0.606602136,-0.252592169,0.129118256,-0.002768854
0.471959172,1.035433263,1.175600175,1.05121507
0.760347967,0.918186067,1.029958668,1.421800994
0.662842667,0.812094267,1.384719894,1.559534456
-0.466518587,-0.132259193,-0.099383272,0.40915534
-0.238225093,-0.211007555,0.295197512,0.096542549
-0.575901907,-0.151830259,-0.29698899,-0.107552159
0.015215648,0.061404592,0.447239656,0.657973794
-0.356834855,-0.006782567,0.151516771,1.214784892
-0.274245766,-0.1632818,0.713426547,0.116015075
-0.474110679,0.337397972,-0.093059646,0.062213295
1.800447308,1.952954706,2.826527528,3.609926626
-0.588250866,-0.434355367,-0.19100545,0.08994475
-0.69590588,-0.579467527,-0.407896576,-0.590950961
-0.515265357,-0.276149863,-0.366863484,-0.302448058
-0.18380032,-0.038156507,0.200255023,0.607184739
-0.5944323,-0.453467367,-0.122617394,-0.185354219
-0.561809672,-0.305386871,-0.260271777,-0.125957427
-0.645401161,-0.731464944,-0.717026393,-0.701494157
-0.447792718,-0.30450807,-0.150800582,-0.033321829
-0.652076914,-0.577511241,-0.499703183,-0.44183404
-0.718618235,-0.68870778,0.291309967,-0.656563387
-0.714824466,0.048316068,-0.518950686,-0.639310189
-0.101896672,-0.524870215,-0.522453676,-0.426729182
