,vin,datetime,latitude,longitude,stay_duration
1,wqmbpgahavumajehd,2022-10-11 09:20:33,42.89352510311468,125.1350844962402,566.5
2,wqmbpgahavumajehd,2022-10-11 18:58:03,42.89030958802234,125.14735073850656,821.45
3,wqmbpgahavumajehd,2022-10-13 09:27:05,42.883784376010624,125.1549777719515,24.033333333333335
4,wqmbpgahavumajehd,2022-10-13 09:57:07,42.89384898092467,125.13451324788508,420.76666666666665
5,wqmbpgahavumajehd,2022-10-13 17:06:03,42.89168342981844,125.14834323021668,947.45
6,wqmbpgahavumajehd,2022-10-14 09:28:10,42.89375477110584,125.1346460715061,463.6333333333333
7,wqmbpgahavumajehd,2022-10-14 17:25:18,42.891663332096336,125.14839813117148,832.6166666666667
8,wqmbpgahavumajehd,2022-10-15 08:04:45,42.92520599848248,125.00186924070697,76.66666666666667
9,wqmbpgahavumajehd,2022-10-15 10:40:21,42.89373564422893,125.1347359585298,408.53333333333336
10,wqmbpgahavumajehd,2022-10-15 17:36:03,42.89166935894122,125.1483831582766,924.5
11,wqmbpgahavumajehd,2022-10-16 09:31:43,42.89372864047691,125.13473695623478,463.3666666666667
12,wqmbpgahavumajehd,2022-10-16 17:23:05,42.89161132739127,125.1483901372089,974.3166666666667
13,wqmbpgahavumajehd,2022-10-17 09:49:24,42.89366647440971,125.13484481419754,462.1
14,wqmbpgahavumajehd,2022-10-17 17:38:40,42.89165438184781,125.14836618566189,885.1833333333333
15,wqmbpgahavumajehd,2022-10-18 08:37:51,42.8936804671655,125.13485380526777,1431.1666666666667
16,wqmbpgahavumajehd,2022-10-19 09:15:14,42.93198673245124,124.9854122890172,55.583333333333336
17,wqmbpgahavumajehd,2022-10-19 10:24:39,42.97253567859111,124.87230167567088,107.53333333333333
18,wqmbpgahavumajehd,2022-10-19 13:41:29,42.89366253469591,125.13479887010942,184.45
19,wqmbpgahavumajehd,2022-10-19 16:57:26,42.89166331722809,125.14840711545408,104.18333333333334
20,wqmbpgahavumajehd,2022-10-19 19:03:37,42.89175729344052,125.1484410703914,196.61666666666667
21,wqmbpgahavumajehd,2022-10-19 22:26:24,42.89016856703651,125.15946380337658,108.45
22,wqmbpgahavumajehd,2022-10-20 00:21:31,42.89174035863229,125.14839814291616,504.5833333333333
23,wqmbpgahavumajehd,2022-10-20 08:57:06,42.89371663366243,125.13473895195033,474.2
24,wqmbpgahavumajehd,2022-10-20 17:04:48,42.89160831149047,125.14839912103622,825.4666666666667
25,wqmbpgahavumajehd,2022-10-21 08:06:58,42.89381191886169,125.13455019723686,75.66666666666667
26,wqmbpgahavumajehd,2022-10-21 09:32:08,42.89167727413398,125.14843606692688,1257.5333333333333
27,wqmbpgahavumajehd,2022-10-22 07:10:30,42.92529665433827,125.00174569574888,52.1
28,wqmbpgahavumajehd,2022-10-22 09:00:36,42.90726444714057,125.14423051540598,26.65
29,wqmbpgahavumajehd,2022-10-22 13:16:45,42.89827291460008,125.14699556220926,28.533333333333335
30,wqmbpgahavumajehd,2022-10-22 14:24:53,42.89169321187478,125.14847699769508,31.8
31,wqmbpgahavumajehd,2022-10-22 15:28:11,42.89159231093248,125.14839612383444,1208.7666666666667
32,wqmbpgahavumajehd,2022-10-23 12:13:17,42.89166231027489,125.1484111083152,145.71666666666667
33,wqmbpgahavumajehd,2022-10-23 14:53:00,42.86172092083411,125.13378820606914,34.516666666666666
34,wqmbpgahavumajehd,2022-10-23 15:49:21,42.89165639574741,125.14835819992764,1003.4333333333333
