,vin,datetime,latitude,longitude,stay_duration
1,wqmbpgahavumajdgb,2022-09-20 19:54:04,43.78205023861075,125.36227720262566,814.9166666666666
2,wqmbpgahavumajdgb,2022-09-21 09:34:21,43.7820013413674,125.36233031601746,431.46666666666664
3,wqmbpgahavumajdgb,2022-09-22 17:11:29,43.79908033156456,125.32096462726524,186.55
4,wqmbpgahavumajdgb,2022-09-22 20:37:32,43.78207021232676,125.36226618065211,773.1166666666667
5,wqmbpgahavumajdgb,2022-09-23 09:53:32,43.82094946444544,125.31439794972688,22.316666666666666
6,wqmbpgahavumajdgb,2022-09-23 10:25:11,43.817228065191216,125.34158148552916,26.916666666666668
7,wqmbpgahavumajdgb,2022-09-23 11:01:36,43.82045524530548,125.31413620443668,431.81666666666666
8,wqmbpgahavumajdgb,2022-09-23 18:53:15,43.78196531823549,125.36230224622965,823.2833333333333
9,wqmbpgahavumajdgb,2022-09-24 08:55:34,43.8205124351279,125.3142555174969,56.03333333333333
10,wqmbpgahavumajdgb,2022-09-24 10:12:56,43.80701539849221,125.34817039363774,170.28333333333333
11,wqmbpgahavumajdgb,2022-09-24 13:16:23,43.82027399804668,125.31394970115817,304.18333333333334
12,wqmbpgahavumajdgb,2022-09-24 18:47:44,43.78199938065832,125.36235637513494,846.0666666666667
13,wqmbpgahavumajdgb,2022-09-25 09:31:21,43.82810860721482,125.29231705515768,20.183333333333334
14,wqmbpgahavumajdgb,2022-09-25 10:07:22,43.83842060856068,125.30170317274576,38.083333333333336
15,wqmbpgahavumajdgb,2022-09-25 10:49:07,43.83846061987233,125.30172322382582,80.9
16,wqmbpgahavumajdgb,2022-09-25 12:43:21,43.852867870368655,125.32333746930708,157.45
17,wqmbpgahavumajdgb,2022-09-25 15:41:18,43.82117288861336,125.31469173559688,67.51666666666667
18,wqmbpgahavumajdgb,2022-09-25 17:56:31,43.78199427858739,125.36228521197694,1098.4333333333334
19,wqmbpgahavumajdgb,2022-09-26 12:40:27,43.76689453278102,125.38033807816132,26.0
20,wqmbpgahavumajdgb,2022-09-26 13:41:27,43.82050746187765,125.31426854993992,164.56666666666666
21,wqmbpgahavumajdgb,2022-09-26 16:30:11,43.81950488164865,125.30351128416604,21.116666666666667
22,wqmbpgahavumajdgb,2022-09-26 16:58:28,43.82044312524846,125.29048641985574,42.8
23,wqmbpgahavumajdgb,2022-09-26 17:49:26,43.82102154455894,125.31446212492196,55.166666666666664
24,wqmbpgahavumajdgb,2022-09-26 19:04:16,43.78203721861414,125.36225915935684,1225.8666666666666
25,wqmbpgahavumajdgb,2022-09-27 16:11:51,43.80214624440011,125.30244112581904,53.5
26,wqmbpgahavumajdgb,2022-09-27 17:20:21,43.82105455656601,125.31447817110326,92.45
27,wqmbpgahavumajdgb,2022-09-27 19:12:08,43.78201339716343,125.36237241393944,1232.3833333333334
28,wqmbpgahavumajdgb,2022-09-28 16:27:29,43.82076937175422,125.31429566036655,161.6
29,wqmbpgahavumajdgb,2022-09-28 19:27:35,43.78202226596972,125.36228621874098,1127.7166666666667
30,wqmbpgahavumajdgb,2022-09-29 14:31:01,43.82048639162702,125.31422443415477,247.35
31,wqmbpgahavumajdgb,2022-09-29 19:00:52,43.782131131475175,125.3622321125794,885.2166666666667
32,wqmbpgahavumajdgb,2022-09-30 10:17:25,43.8205594785217,125.3142926195173,273.65
33,wqmbpgahavumajdgb,2022-09-30 15:24:24,43.8953937775119,125.42239636158344,75.56666666666666
34,wqmbpgahavumajdgb,2022-09-30 17:32:08,43.82105154519174,125.31447115270548,82.98333333333333
35,wqmbpgahavumajdgb,2022-09-30 19:22:17,43.78204429321127,125.36231228173062,753.2333333333333
36,wqmbpgahavumajdgb,2022-10-01 08:30:12,43.895625771683854,125.2624919821696,53.53333333333333
37,wqmbpgahavumajdgb,2022-10-01 11:04:43,43.81232309735667,125.31763594856211,149.71666666666667
38,wqmbpgahavumajdgb,2022-10-01 15:46:07,41.94588988701216,126.43932258522084,1023.1333333333333
39,wqmbpgahavumajdgb,2022-10-02 09:35:45,41.9700371373654,126.23526870976394,162.88333333333333
40,wqmbpgahavumajdgb,2022-10-02 13:09:18,41.93945159712122,126.42453277465758,60.56666666666667
41,wqmbpgahavumajdgb,2022-10-02 14:17:02,41.94590193922065,126.43928965664092,1193.2666666666667
42,wqmbpgahavumajdgb,2022-10-03 10:44:10,41.93629561050749,126.4214699367536,22.516666666666666
43,wqmbpgahavumajdgb,2022-10-03 11:15:01,41.946098027669976,126.43922581936516,23.616666666666667
44,wqmbpgahavumajdgb,2022-10-03 11:46:28,41.95876893051124,126.44876000326484,291.8666666666667
45,wqmbpgahavumajdgb,2022-10-03 16:46:20,41.94774168211124,126.43475992866156,130.76666666666668
46,wqmbpgahavumajdgb,2022-10-03 19:03:56,41.94582698490943,126.43926469883628,841.75
47,wqmbpgahavumajdgb,2022-10-04 10:35:11,41.95446779083112,125.99359810504686,123.71666666666667
48,wqmbpgahavumajdgb,2022-10-04 16:07:24,43.79636817256579,125.22397503577734,92.58333333333333
49,wqmbpgahavumajdgb,2022-10-04 17:47:59,43.79058435383584,125.22485100711523,78.58333333333333
50,wqmbpgahavumajdgb,2022-10-04 19:39:44,43.78212323576624,125.36230026691376,1116.0
51,wqmbpgahavumajdgb,2022-10-05 14:44:24,43.84505016763055,125.32540079583052,55.81666666666667
52,wqmbpgahavumajdgb,2022-10-05 16:13:03,43.80703577766691,125.3653470536768,63.85
53,wqmbpgahavumajdgb,2022-10-05 17:18:04,43.78196843011146,125.36237942274064,996.4
