,vin,datetime,latitude,longitude,stay_duration
1,wqmbpgahavumbedfb,2022-09-22 16:55:02,43.817943177735096,125.3312724936488,25.483333333333334
2,wqmbpgahavumbedfb,2022-09-22 18:06:09,43.817098195055344,125.32271313740182,1031.3166666666666
3,wqmbpgahavumbedfb,2022-09-23 11:31:48,43.81722699270694,125.3221195697892,146.21666666666667
4,wqmbpgahavumbedfb,2022-09-23 14:44:39,43.81812268368213,125.322731348061,1105.0333333333333
5,wqmbpgahavumbedfb,2022-09-25 09:27:01,43.88538763328015,125.32553956425768,236.03333333333333
6,wqmbpgahavumbedfb,2022-09-25 13:50:33,43.817848449881296,125.33504881106349,23.3
7,wqmbpgahavumbedfb,2022-09-25 14:28:21,43.81713691384154,125.32257677836918,76.6
8,wqmbpgahavumbedfb,2022-09-26 16:13:15,43.81774722064488,125.32343016337856,27.55
9,wqmbpgahavumbedfb,2022-09-26 16:45:28,43.81805772793752,125.33106995793976,31.133333333333333
10,wqmbpgahavumbedfb,2022-09-26 17:27:56,43.817160186961765,125.32272618213958,936.7
11,wqmbpgahavumbedfb,2022-09-27 09:12:28,43.819507609380736,125.31834393368209,21.7
12,wqmbpgahavumbedfb,2022-09-27 09:45:10,43.81717116003743,125.3227151543332,421.01666666666665
13,wqmbpgahavumbedfb,2022-09-27 16:51:31,43.81817446744211,125.33096669407958,22.233333333333334
14,wqmbpgahavumbedfb,2022-09-27 17:23:25,43.81712404140385,125.32263994546229,1104.9666666666667
15,wqmbpgahavumbedfb,2022-09-28 12:39:32,43.79145209439823,125.30263588584089,44.483333333333334
16,wqmbpgahavumbedfb,2022-09-28 13:39:01,43.8177497203774,125.32369186713304,23.316666666666666
17,wqmbpgahavumbedfb,2022-09-28 14:37:51,43.81712693065244,125.32258279289356,244.51666666666668
18,wqmbpgahavumbedfb,2022-09-28 18:44:32,43.81724433186053,125.3223020603165,1313.7666666666667
19,wqmbpgahavumbedfb,2022-09-29 16:44:28,43.81792290181556,125.3311230818483,25.433333333333334
20,wqmbpgahavumbedfb,2022-09-29 17:23:24,43.81809286058776,125.32281556900342,1113.0166666666667
21,wqmbpgahavumbedfb,2022-09-30 12:14:55,43.81764778237987,125.32369586176291,140.73333333333332
22,wqmbpgahavumbedfb,2022-09-30 15:40:00,43.8180840397452,125.32290681216654,1212.0833333333333
23,wqmbpgahavumbedfb,2022-10-01 11:58:35,43.82088051422267,125.32026721847843,23.05
24,wqmbpgahavumbedfb,2022-10-01 12:57:47,43.80085294600827,125.28865704997354,49.71666666666667
25,wqmbpgahavumbedfb,2022-10-01 13:55:01,43.79472624162431,125.2916225022381,220.85
26,wqmbpgahavumbedfb,2022-10-01 17:56:45,43.791363718628006,125.3023843043564,31.65
27,wqmbpgahavumbedfb,2022-10-01 18:37:44,43.79467815898598,125.29154735332264,917.8
28,wqmbpgahavumbedfb,2022-10-02 10:17:52,43.81770722468544,125.32342113279935,102.1
29,wqmbpgahavumbedfb,2022-10-02 12:37:56,43.79469322710015,125.29160045556472,1207.1666666666667
30,wqmbpgahavumbedfb,2022-10-03 08:55:06,43.83699584497023,125.29025859928797,53.68333333333333
31,wqmbpgahavumbedfb,2022-10-03 10:12:47,43.80078206278274,125.2887161433252,36.06666666666667
32,wqmbpgahavumbedfb,2022-10-03 10:59:11,43.81768369027825,125.32365776500424,59.266666666666666
33,wqmbpgahavumbedfb,2022-10-03 12:11:07,43.83726033786115,125.2899981652806,40.6
34,wqmbpgahavumbedfb,2022-10-03 13:09:33,43.81754294769759,125.32375299884988,29.866666666666667
35,wqmbpgahavumbedfb,2022-10-03 14:28:55,43.83718018505117,125.2891285843465,172.73333333333332
36,wqmbpgahavumbedfb,2022-10-03 17:44:59,43.79467713090441,125.29152731550018,896.95
37,wqmbpgahavumbedfb,2022-10-04 08:55:46,43.81753782176505,125.32368581737497,255.0
38,wqmbpgahavumbedfb,2022-10-04 13:25:26,43.79474135572061,125.29170766508815,393.6666666666667
39,wqmbpgahavumbedfb,2022-10-04 20:32:26,43.79478015945106,125.2915844390507,711.1166666666667
