,接收菜包数量,自采蔬菜包数量,蔬菜包投放总量
0,22273.72468970518,20690.767900975203,41004.793075608206
1,53367.31873498143,9754.005312991252,45242.04509464333
2,34384.30011436284,35370.293619559336,37780.521523605836
3,40272.44187547452,19556.745777686585,53608.50114795856
4,62354.90794237964,20032.5304117861,51915.48950901042
5,41689.46229258794,39156.21729614246,49841.112667759
