,接收菜包数量,自采蔬菜包数量,蔬菜包投放总量
0,2930.097904296951,24184.119450720213,26433.046913788043
1,3966.077114583496,25560.670862199953,28617.971933453035
2,2892.8852738799087,27297.615578956633,29468.126152129065
3,2890.2203770878996,28988.96901843685,30857.94102219581
4,2399.716768054776,30557.181974888597,32043.027861588835
5,2075.6914286310594,32264.00207149532,33259.55165797183
