Latitude,Longitude,Infected,Population,Species,Road,River,1KM,3KM,5KM,10KM
15.23531,120.914702,0,40000,0,12.57165732,8.197453244,0,1,2,27
15.613217,121.118455,0,10000,0,14.76638892,446.2200256,4,0,0,10
15.614068,121.118123,0,45000,0,14.31586097,429.829322,4,0,0,10
15.464735,121.050498,0,40000,0,28.35109155,559.7452781,3,0,16,38
15.680797,120.85099,0,76000,0,3.957603626,98.39170523,0,1,2,17
15.26884,121.036778,0,92000,0,1.533577377,891.8903819,2,7,6,26
15.668717,120.98335,0,36000,0,3.251423573,320.5208151,0,0,1,16
15.877047,120.931243,0,12000,0,39.28533751,1.720640345,0,5,0,2
15.669125,120.77047,0,8000,0,56.7504173,73.74765901,0,0,0,4
15.835423,120.70859,0,20000,0,0.06455994,881.0845577,0,4,2,6
15.300423,120.988665,0,38000,0,41.43270235,314.6525677,1,4,8,50
15.513708,120.973808,0,76000,0,13.6266251,595.2266664,0,2,3,24
15.206492,120.821952,0,105000,0,4.360658868,831.8759044,0,9,0,15
15.213695,120.812218,0,76000,0,5.075386086,904.1890849,3,4,2,17
15.486068,121.00492,0,40000,0,0.810187759,128.2605096,1,2,6,28
15.685932,120.933568,0,18000,0,10.33791695,176.4941798,1,6,3,15
15.466747,121.048657,0,14000,0,9.548201005,322.3561751,2,1,14,37
15.834588,120.858738,0,280000,0,1.69164528,169.1766316,0,0,1,12
15.389918,121.018083,0,109461,0,22.38595643,326.4053086,4,20,13,40
15.75545,121.005142,0,38000,0,159.021986,570.1452345,0,1,1,18
15.869532,120.923985,0,140000,0,0.805139871,296.7422749,0,3,2,2
15.75253,120.709062,0,70000,0,5.823366387,1230.337522,0,1,1,12
15.310068,120.997005,0,80000,0,6.700265446,433.4209247,2,4,8,58
15.744595,120.73089,0,140000,0,31.07975987,248.2348573,0,1,1,10
15.382932,121.048988,0,37000,0,130.2239468,1002.999036,1,17,23,32
15.297225,120.881392,1,75000,0,2.895309697,590.2246788,1,5,9,15
15.294618,120.880795,0,6000,0,30.42555323,657.6339064,1,4,11,16
15.711928,120.94074,0,81000,0,35.73160132,128.5525657,2,6,2,13
15.387062,121.018975,0,22000,0,2.967636554,597.9109752,4,20,14,40
15.721175,121.048943,0,102000,0,8.024818735,798.9455642,0,1,2,11
