,prob,Longitude,Latitude
0,0.293413699,120.881392,15.297225
1,0.607314522,120.880795,15.294618
2,0.522232705,120.872695,15.288898
3,0.790640533,120.83688,15.218912
4,0.360669058,120.850585,15.25017
5,0.717882833,120.835423,15.21994
6,0.347619895,120.878563,15.28416
7,0.503492794,120.901337,15.344648
8,0.694020669,120.840103,15.215493
9,0.686470522,120.841305,15.214125
10,0.671665616,120.86061,15.258837
11,0.314143202,120.909982,15.066332
12,0.783547307,120.730935,14.952662
13,0.380104641,120.782155,15.175993
14,0.30947407,120.782812,15.171018
15,0.50683167,120.78189,15.172872
16,0.534501211,120.782332,15.172032
17,0.55935697,120.782528,15.171547
18,0.751069362,120.647853,15.030082
19,0.653414277,120.642548,15.039945
20,0.173716093,120.653152,15.037232
21,0.259007695,120.653637,15.037528
22,0.676744531,120.646275,15.031818
23,0.5376488,120.646155,15.0321
24,0.391812997,120.862265,15.042258
25,0.202158385,120.896808,15.051253
26,0.059083627,120.857892,15.026252
27,0.059433138,120.858022,15.026295
28,0.614506501,120.873423,15.041263
29,0.55775707,120.886152,15.041062
30,0.616931382,120.873477,15.041438
31,0.525126041,120.881092,15.04512
32,0.047481696,120.85876,15.022452
33,0.642335339,120.87359,15.04206
34,0.493898032,120.872307,15.037348
35,0.653131266,120.873752,15.042553
36,0.445377796,120.863525,15.040422
37,0.431096428,120.890738,15.035328
38,0.067281096,120.89597,15.041293
39,0.215290242,120.861002,15.043187
40,0.265987837,120.865375,15.036135
41,0.733257184,120.884437,15.033033
42,0.242876938,120.896312,15.051563
43,0.62442766,120.872855,15.038757
44,0.775307351,120.883093,15.048435
45,0.184055146,120.857103,15.048868
46,0.020881314,120.857313,15.030775
47,0.099327049,120.899957,15.042788
48,0.218469893,120.895107,15.05165
49,0.188469325,120.895093,15.052885
50,0.057579786,120.858607,15.022515
51,0.701041628,120.882593,15.051217
52,0.621904083,120.88691,15.039588
53,0.436452198,120.872157,15.042235
54,0.407054892,120.87919,15.042075
55,0.033967617,120.856997,15.03101
56,0.209822629,120.861982,15.035485
57,0.055575439,120.857835,15.026557
58,0.083252473,120.861272,15.035335
59,0.156111738,120.898797,15.046353
60,0.260296193,120.89589,15.04937
61,0.586209296,120.901555,15.059612
62,0.295252648,120.8976,15.064258
63,0.591676545,120.873442,15.034987
64,0.332507381,120.86087,15.04408
65,0.181504529,120.89617,15.059023
66,0.193089088,120.895442,15.052602
67,0.034135033,120.856935,15.031022
68,0.251879089,120.8968,15.050743
69,0.133821252,120.893353,15.056398
70,0.271156769,120.855408,15.050572
71,0.744416256,120.87498,15.051977
72,0.309013125,120.858873,15.046462
73,0.612542343,120.902295,15.060473
74,0.771433992,120.862068,15.042442
75,0.10963759,120.897428,15.04122
76,0.289759518,120.891135,15.053822
77,0.215856954,120.85668,15.049128
78,0.145427051,120.893173,15.05636
79,0.441081608,120.899333,15.0602
80,0.262736649,120.895763,15.049428
81,0.274863889,120.85852,15.046818
82,0.615857477,120.897258,15.063062
83,0.701008116,120.882133,15.052827
84,0.11332649,120.89768,15.041607
85,0.113252336,120.897985,15.05787
86,0.332487999,120.86363,15.04023
87,0.491895184,120.873693,15.033665
88,0.731110856,120.880312,15.048532
89,0.84688999,120.878683,15.053432
90,0.125801619,120.896528,15.04539
91,0.062267049,120.843465,15.023942
92,0.063092375,120.85796,15.026057
93,0.192627865,120.893792,15.053305
94,0.435593381,120.889625,15.056663
95,0.204454763,120.89401,15.054208
96,0.420709575,120.889557,15.056562
97,0.483177868,120.871543,15.034568
98,0.257323575,120.855605,15.050328
99,0.659938082,120.873637,15.042058
100,0.030968102,120.856903,15.030733
101,0.228079419,120.897478,15.049748
102,0.172125546,120.894058,15.05446
103,0.080786189,120.846887,15.01573
104,0.110834292,120.897443,15.04118
105,0.086949881,120.860947,15.043915
106,0.019568519,120.85738,15.030787
107,0.734287912,120.884558,15.033
108,0.840392552,120.878558,15.053112
109,0.751713837,120.884408,15.033392
110,0.633256843,120.887448,15.03858
111,0.042799016,120.85835,15.02272
112,0.475787747,120.89244,15.038503
113,0.048984555,120.857905,15.025787
114,0.526229462,120.872503,15.037682
115,0.098879436,120.897305,15.040733
116,0.390895192,120.89363,15.038437
117,0.489123108,120.871525,15.034577
118,0.78845284,120.882955,15.049328
119,0.188831332,120.895028,15.053002
120,0.343958157,120.889745,15.055808
121,0.527156423,120.886013,15.04142
122,0.655322022,120.887187,15.03899
123,0.646685472,120.887603,15.039153
124,0.745787663,120.88436,15.033327
125,0.353414974,120.889953,15.055485
126,0.322818686,120.854587,15.051557
127,0.102540846,120.897273,15.040888
128,0.599088257,120.881553,15.05491
129,0.693530071,120.889803,15.055783
130,0.310750428,120.855113,15.051233
