,prob,Longitude,Latitude
0,0.120709405,120.821952,15.206492
1,0.293413699,120.881392,15.297225
2,0.607314522,120.880795,15.294618
3,0.522232705,120.872695,15.288898
4,0.446100845,120.865698,15.29352
5,0.427938717,120.87599,15.252882
6,0.790640533,120.83688,15.218912
7,0.393094609,120.887237,15.353565
8,0.360669058,120.850585,15.25017
9,0.717882833,120.835423,15.21994
10,0.347619895,120.878563,15.28416
11,0.678137706,120.87923,15.267228
12,0.424693947,120.921643,15.350725
13,0.503492794,120.901337,15.344648
14,0.694020669,120.840103,15.215493
15,0.686470522,120.841305,15.214125
16,0.671665616,120.86061,15.258837
17,0.189105635,120.877653,15.273252
18,0.396263639,120.875013,15.265565
19,0.314143202,120.909982,15.066332
20,0.047740522,120.908035,15.080898
21,0.783547307,120.730935,14.952662
22,0.380104641,120.782155,15.175993
23,0.30947407,120.782812,15.171018
24,0.50683167,120.78189,15.172872
25,0.534501211,120.782332,15.172032
26,0.55935697,120.782528,15.171547
27,0.751069362,120.647853,15.030082
28,0.610238027,120.631398,15.038388
29,0.653414277,120.642548,15.039945
30,0.173716093,120.653152,15.037232
31,0.259007695,120.653637,15.037528
32,0.676744531,120.646275,15.031818
33,0.5376488,120.646155,15.0321
34,0.042107155,120.905645,15.04256
35,0.391812997,120.862265,15.042258
36,0.202158385,120.896808,15.051253
37,0.014467988,120.906687,15.03284
38,0.445937926,120.876243,15.024585
39,0.010553832,120.902815,15.038127
40,0.059083627,120.857892,15.026252
41,0.059433138,120.858022,15.026295
42,0.203664425,120.898018,15.048998
43,0.614506501,120.873423,15.041263
44,0.469400075,120.876747,15.025578
45,0.55775707,120.886152,15.041062
46,0.616931382,120.873477,15.041438
47,0.516289622,120.876512,15.023922
48,0.525126041,120.881092,15.04512
49,0.047481696,120.85876,15.022452
50,0.642335339,120.87359,15.04206
51,0.493898032,120.872307,15.037348
52,0.653131266,120.873752,15.042553
53,0.445377796,120.863525,15.040422
54,0.066150549,120.904175,15.043552
55,0.431096428,120.890738,15.035328
56,0.000933277,120.903788,15.038132
57,0.067281096,120.89597,15.041293
58,0.215290242,120.861002,15.043187
59,0.265987837,120.865375,15.036135
60,0.733257184,120.884437,15.033033
61,0.04633297,120.835648,15.031495
62,0.242876938,120.896312,15.051563
63,0.62442766,120.872855,15.038757
64,0.560521222,120.8679,15.057697
65,0.775307351,120.883093,15.048435
66,0.015170312,120.90314,15.035135
67,0.184055146,120.857103,15.048868
68,0.020881314,120.857313,15.030775
69,0.046171011,120.835812,15.031455
70,0.099327049,120.899957,15.042788
71,0.218469893,120.895107,15.05165
72,0.188469325,120.895093,15.052885
73,0.241865704,120.87046,15.025518
74,0.057579786,120.858607,15.022515
75,0.701041628,120.882593,15.051217
76,0.621904083,120.88691,15.039588
77,0.436452198,120.872157,15.042235
78,0.407054892,120.87919,15.042075
79,0.033967617,120.856997,15.03101
80,0.209822629,120.861982,15.035485
81,0.509024759,120.876767,15.021998
82,0.055575439,120.857835,15.026557
83,0.083252473,120.861272,15.035335
84,0.156111738,120.898797,15.046353
85,0.260296193,120.89589,15.04937
86,0.586209296,120.901555,15.059612
87,0.293279085,120.86896,15.025448
88,0.295252648,120.8976,15.064258
89,0.591676545,120.873442,15.034987
90,0.332507381,120.86087,15.04408
91,0.181504529,120.89617,15.059023
92,0.540871127,120.87665,15.023357
93,0.193089088,120.895442,15.052602
94,0.089982885,120.900895,15.042632
95,0.819296686,120.883352,15.026695
96,0.034135033,120.856935,15.031022
97,0.251879089,120.8968,15.050743
98,0.133821252,120.893353,15.056398
99,0.540820729,120.876765,15.021297
100,0.053053393,120.90228,15.03322
101,0.060640403,120.902387,15.033198
102,0.033388759,120.902867,15.032337
103,0.271156769,120.855408,15.050572
104,0.491497055,120.874998,15.025352
105,0.744416256,120.87498,15.051977
106,0.309013125,120.858873,15.046462
107,0.612542343,120.902295,15.060473
108,0.771433992,120.862068,15.042442
109,0.10963759,120.897428,15.04122
110,0.289759518,120.891135,15.053822
111,0.069957408,120.902425,15.032865
112,0.215856954,120.85668,15.049128
113,0.145427051,120.893173,15.05636
114,0.017360542,120.904685,15.038597
115,0.441081608,120.899333,15.0602
116,0.262736649,120.895763,15.049428
117,0.274863889,120.85852,15.046818
118,0.615857477,120.897258,15.063062
119,0.701008116,120.882133,15.052827
120,0.11332649,120.89768,15.041607
121,0.063759744,120.858033,15.02648
122,0.113252336,120.897985,15.05787
123,0.332487999,120.86363,15.04023
124,0.014462052,120.907408,15.03654
125,0.491895184,120.873693,15.033665
126,0.731110856,120.880312,15.048532
127,0.84688999,120.878683,15.053432
128,0.116854264,120.856287,15.02816
129,0.125801619,120.896528,15.04539
130,0.062267049,120.843465,15.023942
131,0.063092375,120.85796,15.026057
132,0.031004666,120.90306,15.032802
133,0.192627865,120.893792,15.053305
134,0.435593381,120.889625,15.056663
135,0.204454763,120.89401,15.054208
136,0.420709575,120.889557,15.056562
137,0.483177868,120.871543,15.034568
138,0.257323575,120.855605,15.050328
139,0.659938082,120.873637,15.042058
140,0.030968102,120.856903,15.030733
141,0.228079419,120.897478,15.049748
142,0.062403879,120.905835,15.043105
143,0.172125546,120.894058,15.05446
144,0.080786189,120.846887,15.01573
145,0.073537955,120.856337,15.02835
146,0.03534554,120.903392,15.042042
147,0.110834292,120.897443,15.04118
148,0.055997982,120.902695,15.033047
149,0.086949881,120.860947,15.043915
150,0.073930874,120.902545,15.032922
151,0.036393321,120.834592,15.028733
152,0.019568519,120.85738,15.030787
153,0.022986214,120.902853,15.033715
154,0.734287912,120.884558,15.033
155,0.840392552,120.878558,15.053112
156,0.751713837,120.884408,15.033392
157,0.3437392,120.867583,15.02632
158,0.633256843,120.887448,15.03858
159,0.042799016,120.85835,15.02272
160,0.475787747,120.89244,15.038503
161,0.048984555,120.857905,15.025787
162,0.526229462,120.872503,15.037682
163,0.098879436,120.897305,15.040733
164,0.390895192,120.89363,15.038437
165,0.489123108,120.871525,15.034577
166,0.78845284,120.882955,15.049328
167,0.188831332,120.895028,15.053002
168,0.343958157,120.889745,15.055808
169,0.527156423,120.886013,15.04142
170,0.020244325,120.903957,15.038808
171,0.655322022,120.887187,15.03899
172,0.646685472,120.887603,15.039153
173,0.066455469,120.903478,15.03822
174,0.745787663,120.88436,15.033327
175,0.353414974,120.889953,15.055485
176,0.322818686,120.854587,15.051557
177,0.498646131,120.912443,15.046953
178,0.102540846,120.897273,15.040888
179,0.599088257,120.881553,15.05491
180,0.016813354,120.90643,15.03641
181,0.693530071,120.889803,15.055783
182,0.03826136,120.903858,15.041482
183,0.310750428,120.855113,15.051233
184,0.247957756,120.855728,15.050153
185,0.006533842,120.901235,15.038882
186,0.10549323,120.845025,15.01735
187,0.483309884,120.875877,15.034007
188,0.7219355,120.8746,15.03463
189,0.582315418,120.871877,15.03593
190,0.746411444,120.884497,15.032995
191,0.244615806,120.908645,15.045403
192,0.323785419,120.892068,15.037618
193,0.300813599,120.861655,15.04302
194,0.078278516,120.903552,15.043512
195,0.292100393,120.865407,15.036103
196,0.236053626,120.856663,15.049067
197,0.014934401,120.906672,15.03629
198,0.011774982,120.907705,15.036525
199,0.311814161,120.896873,15.050782
200,0.098107886,120.897343,15.040985
201,0.007358813,120.901277,15.038915
202,0.514540957,120.875522,15.033025
203,0.745957628,120.884515,15.03302
204,0.166189532,120.863607,15.03576
205,0.016740169,120.90741,15.036002
206,0.734545632,120.884318,15.033323
207,0.750488223,120.884395,15.03341
208,0.286765166,120.892188,15.037863
209,0.26468631,120.895625,15.039793
210,0.054694061,120.85847,15.022985
211,0.185438887,120.895317,15.052888
212,0.035537448,120.85741,15.02226
213,0.715633487,120.874987,15.049187
214,0.451829448,120.892448,15.0384
215,0.486692388,120.892348,15.03821
216,0.377411511,120.897797,15.06236
217,0.475384844,120.901817,15.062527
218,0.410785842,120.889572,15.056402
219,0.012996588,120.90478,15.037118
220,0.642615082,120.88768,15.039143
221,0.070993425,120.9079,15.036708
222,0.207832711,120.862568,15.03554
223,0.414977049,120.876082,15.025423
224,0.589830124,120.874827,15.033112
225,0.013034821,120.9025,15.035267
226,0.004093433,120.857905,15.026355
227,0.0470447,120.835207,15.031758
228,0.511562997,120.880707,15.046282
229,0.497429187,120.901077,15.06205
230,0.162979827,120.896753,15.041853
231,0.434641085,120.889515,15.056382
232,0.473872112,120.86655,15.021032
233,0.484310039,120.912515,15.046927
234,0.514002254,120.87638,15.02363
235,0.298442786,120.853277,15.055192
236,0.046318038,120.857717,15.021543
237,0.54361965,120.871863,15.036227
238,0.345908148,120.892048,15.053533
239,0.057729281,120.901443,15.041403
240,0.631968779,120.881675,15.053945
241,0.220604037,120.856955,15.048657
242,0.247918235,120.859208,15.046582
243,0.44290593,120.891253,15.037485
244,0.198214957,120.89855,15.048655
245,0.4665455,120.871202,15.03469
246,0.815472615,120.860907,15.043925
247,0.00844374,120.902703,15.038667
248,0.01961585,120.903762,15.03794
249,0.7946602,120.872488,15.037707
250,0.523678239,120.88588,15.041665
251,0.353284027,120.863647,15.040387
252,0.320776111,120.889815,15.055838
253,0.275277105,120.860967,15.043852
254,0.093714024,120.854653,15.019917
255,0.29170445,120.869052,15.035467
256,0.406093204,120.872223,15.03412
257,0.526059481,120.885993,15.041405
258,0.252883542,120.895903,15.049377
259,0.54452261,120.878223,15.043617
260,0.684146588,120.882113,15.052815
261,0.447420278,120.899333,15.062045
262,0.215639766,120.897582,15.049678
263,0.250864627,120.868685,15.035892
264,0.034915782,120.857685,15.021827
265,0.092502698,120.899167,15.041905
266,0.205910566,120.702893,14.980352
267,0.773912011,120.72103,14.959263
268,0.300691955,120.717793,14.950812
269,0.360482951,120.702925,14.980293
270,0.797758623,120.717573,14.947603
271,0.394428065,120.701005,14.980607
272,0.195474129,120.730877,14.952807
273,0.321570507,120.731762,14.962675
274,0.321144192,120.73503,14.974987
275,9.28e-09,120.698598,14.977805
276,0.168542707,120.733388,14.970942
277,0.21236419,120.699432,14.976273
278,0.627368591,120.717668,14.949475
279,0.248453092,120.701212,14.973987
280,0.40801262,120.70067,14.980012
281,0.351043796,120.71767,14.950042
282,0.372834454,120.702617,14.98071
283,0.442204684,120.729462,14.955945
284,0.240831895,120.70104,14.980363
285,0.634169457,120.699612,14.97838
286,0.089514268,120.699433,14.97753
287,0.543415484,120.733837,14.968367
288,0.219432622,120.700497,14.979698
289,0.522482913,120.700815,14.980215
290,0.453016153,120.736387,14.974712
291,0.78169555,120.712326,15.004561
292,0.764672085,120.63105,15.00655
293,0.813693841,120.5876095,14.93444135
294,1.81e-09,120.28,15.421
295,0.850472979,120.886513,15.041179
296,0.622244659,120.70649,14.984448
297,0.784895009,120.6241233,15.01341
298,0.727172891,120.730892,14.952857
