,Prob,real_outcome
1,0.670265469,0
2,0.643367317,0
3,0.431955804,0
4,0.304149764,0
5,0.472357857,0
6,0.110559406,0
7,0.626406813,0
8,0.836090361,0
9,0.780791599,0
10,0.554012979,0
11,0.380944013,0
12,0.231551449,0
13,0.120709405,0
14,0.147538518,0
15,0.639011402,0
16,0.77293367,0
17,0.642237707,0
18,0.004541815,0
19,0.135816002,0
20,0.1482524,0
21,0.1444023,0
22,0.12736507,0
23,0.167562943,0
24,0.098414248,0
25,0.115907508,0
26,0.293413699,1
27,0.607314522,0
28,0.343409247,0
29,0.533249914,0
30,0.1217422,0
31,0.674221243,0
32,0.611690386,0
33,0.491503375,0
34,0.62461714,0
35,0.437335027,0
36,0.314933593,0
37,0.764436982,0
38,0.000611075,0
39,0.163124266,0
40,0.252641334,0
41,0.77723138,0
42,0.00242227,0
43,0.489552843,0
44,0.588900857,0
45,0.487527362,0
46,0.572223379,0
47,0.129306745,0
48,0.20816748,0
49,0.394848795,0
50,0.003121447,0
51,0.586649105,0
52,0.428128834,0
53,0.518405638,0
54,0.522232705,0
55,0.038205031,0
56,0.530754162,0
57,0.667799538,0
58,0.113997136,0
59,0.859651998,0
60,0.490235841,0
61,0.421407778,0
62,0.446100845,0
63,0.624615644,0
64,0.393525089,0
65,0.721120587,0
66,0.359107731,0
67,0.074053037,0
68,0.196286124,0
69,0.412836761,0
70,0.482576595,0
71,0.230050942,0
72,0.114261381,0
73,0.686901997,0
74,0.045512058,0
75,0.121514805,0
76,0.227040264,0
77,0.297980745,0
78,0.526694696,0
79,0.460340875,0
80,0.731229213,0
81,0.012259344,0
82,0.42493552,0
83,0.421183687,0
84,0.051118155,0
85,0.494032524,0
86,0.489517144,0
87,0.74878483,0
88,0.429480695,0
89,0.427938717,0
90,0.043769708,0
91,0.465054272,0
92,0.001542471,0
93,0.583732895,0
94,0.790640533,0
95,0.28584846,0
96,0.341302062,0
97,0.221160858,0
98,0.673763538,0
99,0.59854432,0
100,0.443459917,0
101,0.649111592,0
102,0.74745788,0
103,0.000291599,0
104,0.641576651,0
105,0.005022014,0
106,0.836105629,0
107,0.753299283,0
108,0.527969939,0
109,0.13782605,0
110,0.182088209,0
111,0.114172334,0
112,0.58068167,0
113,0.344699734,0
114,0.337142422,0
115,0.578779935,0
116,0.603124117,0
117,0.522196648,0
118,0.372664812,0
119,0.704368673,0
120,0.221099595,0
121,0.17683084,0
122,0.596917477,0
